"deputati","nome","email","foto","nomeCollegio","lat","long"
"http://dati.openars.org/legislatura/xvi/deputato/bandiera-edgardo-edy","Bandiera Edgardo Edy","ebandiera@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000886.jpg","Siracusa","37.08330154418945","15.28330039978027"
"http://dati.openars.org/legislatura/xvi/deputato/barbagallo-anthony-emanuele-detto-entoni","Barbagallo Anthony Emanuele detto Entoni","abarbagallo@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000820.jpg","Catania","37.5","15.09029960632324"
"http://dati.openars.org/legislatura/xvi/deputato/cascio-francesco","Cascio Francesco","fcascio@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000024.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/cimino-michele","Cimino Michele","mcimino@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000028.jpg","Agrigento","37.31669998168945","13.58329963684082"
"http://dati.openars.org/legislatura/xvi/deputato/cordaro-salvatore-detto-toto","Cordaro Salvatore detto Toto","scordaro@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000778.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/cracolici-antonello","Cracolici Antonello","acracolici@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000032.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/crocetta-rosario","Crocetta Rosario","rcrocetta@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000828.jpg","Regionale",,
"http://dati.openars.org/legislatura/xvi/deputato/di-mauro-giovanni-detto-roberto","Di Mauro Giovanni detto Roberto","gdimauro@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000473.jpg","Agrigento","37.31669998168945","13.58329963684082"
"http://dati.openars.org/legislatura/xvi/deputato/falcone-marco","Falcone Marco","mfalcone@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000753.jpg","Catania","37.5","15.09029960632324"
"http://dati.openars.org/legislatura/xvi/deputato/formica-santi","Formica Santi","sformica@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000045.jpg","Messina","38.18330001831055","15.55000019073486"
"http://dati.openars.org/legislatura/xvi/deputato/gianni-giuseppe-detto-pippo","Gianni Giuseppe detto Pippo","ggianni@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000711.jpg","Siracusa","37.08330154418945","15.28330039978027"
"http://dati.openars.org/legislatura/xvi/deputato/grasso-bernadette-felice","Grasso Bernadette Felice","bgrasso@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000841.jpg","Messina","38.18330001831055","15.55000019073486"
"http://dati.openars.org/legislatura/xvi/deputato/gucciardi-baldassare-detto-baldo","Gucciardi Baldassare detto Baldo","bgucciardi@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000713.jpg","Trapani","38.01670074462891","12.51669979095459"
"http://dati.openars.org/legislatura/xvi/deputato/lantieri-annunziata-luisa","Lantieri Annunziata Luisa","alantieri@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000843.jpg","Enna","37.56330108642578","14.27610015869141"
"http://dati.openars.org/legislatura/xvi/deputato/leanza-nicola-detto-lino","Leanza Nicola detto Lino","nleanza@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000057.jpg","Regionale",,
"http://dati.openars.org/legislatura/xvi/deputato/marziano-bruno","Marziano Bruno","bmarziano@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000767.jpg","Siracusa","37.08330154418945","15.28330039978027"
"http://dati.openars.org/legislatura/xvi/deputato/micciche-gianluca-antonello","Miccichè Gianluca Antonello","gmicciche@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000852.jpg","Caltanissetta","37.49029922485352","14.0625"
"http://dati.openars.org/legislatura/xvi/deputato/musumeci-nello","Musumeci Nello .","nmusumeci@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000854.jpg","Regionale",,
"http://dati.openars.org/legislatura/xvi/deputato/scoma-francesco","Scoma Francesco","fscoma@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000088.jpg","Palermo","38.11669921875","13.36670017242432"
"http://dati.openars.org/legislatura/xvi/deputato/sorbello-giuseppe-detto-pippo","Sorbello Giuseppe detto Pippo","gsorbello@ars.sicilia.it","http://www.ars.sicilia.it/DocumentiEsterni/Immagini/Deputati/000859.jpg","Siracusa","37.08330154418945","15.28330039978027"
